經度,緯度,期間平均室外溫度(°),相對溼度(%),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²),能見度(km),總雲量(0~10),太陽高度角(°),天氣現象,海拔(m)
119.5631°E,23.5655°N,23.6,68,0.0,10.9,7.067,29.0,3.8,81,晴天,10.7
119.5631°E,23.5655°N,23.7,82,0.0,7.8,6.411,14.8,6.8,82,多雲有靄,10.7
119.5631°E,23.5655°N,25.0,80,0.0,8.6,6.547,21.4,5.8,82,多雲有靄,10.7
119.5631°E,23.5655°N,26.8,79,0.0,10.9,7.514,24.0,2.4,82,晴有靄,10.7
119.5631°E,23.5655°N,27.6,82,0.0,10.8,7.589,24.0,1.8,83,晴有靄,10.7
119.5631°E,23.5655°N,27.5,87,0.0,9.7,7.35,25.0,5.6,83,多雲有靄,10.7
119.5631°E,23.5655°N,25.1,92,66.0,0.0,1.039,14.4,10.0,83,陰有雨,10.7
119.5631°E,23.5655°N,22.6,71,0.0,3.7,4.492,16.0,8.0,84,多雲,10.7
119.5631°E,23.5655°N,23.4,72,0.0,7.5,6.156,21.2,5.4,84,多雲,10.7
119.5631°E,23.5655°N,23.8,82,0.0,0.2,3.594,17.2,9.0,84,陰有靄,10.7
119.5631°E,23.5655°N,24.1,83,0.0,3.3,5.319,14.4,7.8,84,多雲有靄,10.7
119.5631°E,23.5655°N,25.5,77,0.0,2.1,4.356,16.4,7.8,85,多雲有靄,10.7
119.5631°E,23.5655°N,27.0,80,0.0,11.1,7.531,17.6,1.0,86,晴有靄,10.7
119.5631°E,23.5655°N,27.2,92,1.5,1.6,4.125,20.6,7.8,86,多雲有雨,10.7
119.5631°E,23.5655°N,26.3,93,5.0,0.4,2.25,5.0,9.6,86,陰有雨,10.7
119.5631°E,23.5655°N,27.1,88,0.0,7.0,6.244,9.2,5.6,86,多雲有靄,10.7
119.5631°E,23.5655°N,27.8,91,7.5,9.3,6.731,17.8,5.0,87,多雲有雨,10.7
119.5631°E,23.5655°N,27.7,91,0.0,7.1,5.839,28.0,7.2,87,多雲有靄,10.7
119.5631°E,23.5655°N,24.7,81,2.0,5.5,5.781,12.0,5.8,87,多雲有雨,10.7
119.5631°E,23.5655°N,24.9,77,0.0,3.0,4.475,21.2,7.6,87,多雲有靄,10.7
119.5631°E,23.5655°N,26.3,83,0.0,8.6,6.783,22.2,5.2,87,多雲有靄,10.7
119.5631°E,23.5655°N,27.0,83,0.0,11.1,7.611,25.0,2.6,88,晴有靄,10.7
119.5631°E,23.5655°N,26.7,85,0.0,11.2,7.622,19.0,2.4,88,晴有靄,10.7
119.5631°E,23.5655°N,26.6,83,0.0,8.7,7.228,22.0,4.6,88,多雲有靄,10.7
119.5631°E,23.5655°N,27.1,86,0.0,0.8,3.983,10.0,9.4,88,陰有靄,10.7
119.5631°E,23.5655°N,27.3,83,0.0,10.1,7.469,25.0,2.6,88,晴有靄,10.7
119.5631°E,23.5655°N,28.3,86,0.0,6.9,5.786,23.0,5.4,89,多雲有靄,10.7
119.5631°E,23.5655°N,28.4,90,18.5,8.4,7.186,26.0,4.8,89,多雲有雨,10.7
119.5631°E,23.5655°N,27.8,86,0.0,10.1,7.061,14.0,4.0,89,多雲有靄,10.7
119.5631°E,23.5655°N,28.3,83,0.0,10.3,6.978,12.6,3.2,89,晴有靄,10.7
119.5631°E,23.5655°N,28.8,83,0.0,10.8,7.622,28.0,2.4,89,晴有靄,10.7
119.5631°E,23.5655°N,28.8,86,0.0,11.2,7.583,28.0,2.2,89,晴有靄,10.7
119.5631°E,23.5655°N,27.9,90,9.0,6.2,5.433,18.4,7.4,89,多雲有雨,10.7
119.5631°E,23.5655°N,28.7,85,0.0,9.6,7.153,23.0,4.0,89,多雲有靄,10.7
119.5631°E,23.5655°N,28.7,85,0.0,3.6,3.897,20.6,8.2,89,多雲有靄,10.7
119.5631°E,23.5655°N,27.8,88,1.0,0.8,2.589,24.0,8.8,89,多雲有雨,10.7
119.5631°E,23.5655°N,27.7,89,7.5,2.7,3.436,32.0,8.4,90,多雲有雨,10.7
119.5631°E,23.5655°N,28.4,82,0.0,8.3,6.322,32.0,7.6,90,多雲有靄,10.7
119.5631°E,23.5655°N,27.5,89,63.0,1.8,4.022,26.0,9.0,90,陰有雨,10.7
119.5631°E,23.5655°N,28.3,91,0.5,0.3,3.633,16.8,8.8,90,多雲有靄,10.7
119.5631°E,23.5655°N,28.8,89,0.0,8.3,7.142,17.6,4.6,90,多雲有靄,10.7
119.5631°E,23.5655°N,28.8,87,0.0,11.5,7.706,11.8,2.4,90,晴有靄,10.7
119.5631°E,23.5655°N,28.7,87,0.0,10.5,7.319,27.6,4.2,90,多雲有靄,10.7
119.5631°E,23.5655°N,28.7,87,0.0,9.9,7.061,32.0,4.8,90,多雲有靄,10.7
119.5631°E,23.5655°N,28.9,87,0.0,11.7,7.728,35.0,2.8,90,晴有靄,10.7
119.5631°E,23.5655°N,28.9,85,0.0,10.4,6.819,35.0,6.4,90,多雲有靄,10.7
119.5631°E,23.5655°N,29.4,85,0.0,11.6,7.631,34.0,4.6,90,多雲有靄,10.7
119.5631°E,23.5655°N,29.1,83,0.0,10.7,6.919,29.0,5.6,90,多雲有靄,10.7
119.5631°E,23.5655°N,29.0,85,4.5,8.3,6.425,30.0,6.6,90,多雲有雨,10.7
119.5631°E,23.5655°N,29.0,86,0.0,9.2,6.722,23.0,6.4,90,多雲有靄,10.7
119.5631°E,23.5655°N,29.1,82,0.0,1.4,4.178,30.0,8.6,90,多雲有靄,10.7
119.5631°E,23.5655°N,29.4,82,0.0,6.6,6.275,32.0,8.2,90,多雲有靄,10.7
119.5631°E,23.5655°N,29.3,86,0.5,7.2,5.433,25.0,7.4,90,多雲有靄,10.7
119.5631°E,23.5655°N,29.3,83,1.5,8.3,6.369,30.0,6.6,90,多雲有雨,10.7
119.5631°E,23.5655°N,29.6,84,0.0,10.5,7.111,27.0,6.4,89,多雲有靄,10.7
119.5631°E,23.5655°N,29.7,83,0.0,11.3,7.778,35.0,2.8,89,晴有靄,10.7
119.5631°E,23.5655°N,28.9,86,8.5,8.3,6.636,27.2,5.4,89,多雲有雨,10.7
119.5631°E,23.5655°N,29.0,88,14.5,10.4,6.786,30.0,3.2,89,晴有雨,10.7
119.5631°E,23.5655°N,29.2,86,0.0,11.6,7.497,31.0,3.2,89,晴有靄,10.7
119.5631°E,23.5655°N,29.3,85,0.0,11.5,7.672,20.0,2.0,89,晴有靄,10.7
119.5631°E,23.5655°N,29.4,85,0.0,11.7,7.592,16.4,1.6,89,晴有靄,10.7
119.5631°E,23.5655°N,29.3,85,0.0,11.6,7.808,29.0,1.4,89,晴有靄,10.7
119.5631°E,23.5655°N,29.5,85,0.0,11.5,7.983,37.0,1.4,89,晴有靄,10.7
119.5631°E,23.5655°N,29.5,83,0.0,10.9,7.928,40.0,3.6,89,晴有靄,10.7
119.5631°E,23.5655°N,29.5,85,0.0,10.5,7.344,37.0,3.0,88,晴有靄,10.7
119.5631°E,23.5655°N,29.7,83,0.0,10.7,7.558,30.0,3.2,88,晴有靄,10.7
119.5631°E,23.5655°N,30.1,77,0.0,11.4,7.667,37.0,3.2,88,晴有靄,10.7
119.5631°E,23.5655°N,29.8,82,0.0,11.4,7.756,33.0,3.2,88,晴有靄,10.7
119.5631°E,23.5655°N,30.1,79,0.0,6.7,6.328,33.0,4.0,88,多雲有靄,10.7
119.5631°E,23.5655°N,31.2,72,0.0,10.7,7.458,32.0,6.8,88,多雲,10.7
119.5631°E,23.5655°N,30.1,80,3.0,4.5,5.492,30.0,8.4,88,多雲有雨,10.7
119.5631°E,23.5655°N,29.6,83,0.5,4.5,5.483,29.0,7.2,87,多雲有靄,10.7
119.5631°E,23.5655°N,29.7,83,0.0,10.7,7.656,33.0,4.4,87,多雲有靄,10.7
119.5631°E,23.5655°N,29.9,82,0.0,11.4,7.467,39.0,3.4,87,晴有靄,10.7
119.5631°E,23.5655°N,29.6,84,0.0,10.3,7.167,35.0,2.8,87,晴有靄,10.7
119.5631°E,23.5655°N,29.7,84,0.0,8.0,6.9,36.0,6.4,87,多雲有靄,10.7
119.5631°E,23.5655°N,29.9,79,0.0,11.0,6.869,35.0,4.2,86,多雲有靄,10.7
119.5631°E,23.5655°N,29.8,83,0.0,9.2,7.039,30.0,5.0,86,多雲有靄,10.7
119.5631°E,23.5655°N,28.2,90,8.5,0.0,1.875,8.4,9.6,86,陰有雨,10.7
119.5631°E,23.5655°N,26.9,94,244.5,0.0,1.136,4.0,10.0,85,陰有雨,10.7
119.5631°E,23.5655°N,28.5,91,2.0,1.9,4.333,15.0,8.2,85,多雲有雨,10.7
119.5631°E,23.5655°N,28.2,91,9.0,2.4,4.117,16.0,8.6,85,多雲有雨,10.7
119.5631°E,23.5655°N,28.6,87,0.0,8.1,6.528,24.0,6.4,85,多雲有靄,10.7
119.5631°E,23.5655°N,28.7,85,0.0,10.2,7.106,30.0,3.0,85,晴有靄,10.7
119.5631°E,23.5655°N,29.1,87,0.0,11.0,7.397,19.0,4.8,84,多雲有靄,10.7
119.5631°E,23.5655°N,29.0,89,0.0,2.6,4.703,11.8,9.8,83,陰有靄,10.7
119.5631°E,23.5655°N,29.1,89,0.0,11.3,7.122,13.4,3.8,83,晴有靄,10.7
119.5631°E,23.5655°N,29.0,89,0.0,11.2,7.281,16.0,5.2,83,多雲有靄,10.7
119.5631°E,23.5655°N,28.8,89,0.0,8.1,6.15,10.8,8.2,83,多雲有靄,10.7
119.5631°E,23.5655°N,28.5,90,0.0,3.2,4.528,12.8,7.6,82,多雲有靄,10.7
119.5631°E,23.5655°N,28.1,88,1.5,5.4,5.547,19.0,8.0,82,多雲有雨,10.7
119.5631°E,23.5655°N,28.3,89,2.5,6.8,6.008,25.0,5.6,81,多雲有雨,10.7
119.5631°E,23.5655°N,28.0,89,0.5,3.9,3.658,16.6,8.0,81,多雲有靄,10.7
119.5631°E,23.5655°N,28.7,88,0.0,9.1,6.661,24.0,5.4,81,多雲有靄,10.7
119.5631°E,23.5655°N,28.2,87,0.0,5.6,5.3,25.0,5.6,80,多雲有靄,10.7
119.5631°E,23.5655°N,27.7,87,0.0,3.1,4.006,26.0,7.4,80,多雲有靄,10.7
119.5631°E,23.5655°N,28.7,86,0.0,9.9,6.608,33.0,4.0,79,多雲有靄,10.7
119.5631°E,23.5655°N,28.8,85,0.0,11.5,7.233,36.0,1.8,79,晴有靄,10.7
119.5631°E,23.5655°N,29.0,87,0.0,11.1,7.081,40.0,2.4,78,晴有靄,10.7
119.5631°E,23.5655°N,29.2,82,0.0,9.5,6.983,41.0,5.0,78,多雲有靄,10.7
119.5631°E,23.5655°N,29.2,84,0.0,10.6,6.833,39.0,3.0,78,晴有靄,10.7
119.5631°E,23.5655°N,29.5,82,0.0,10.6,7.028,36.0,2.2,77,晴有靄,10.7
119.5631°E,23.5655°N,29.5,86,0.0,10.5,6.881,37.0,4.8,77,多雲有靄,10.7
119.5631°E,23.5655°N,29.2,84,0.0,11.0,6.958,35.0,3.2,77,晴有靄,10.7
119.5631°E,23.5655°N,29.5,80,0.0,11.5,7.286,37.0,3.4,76,晴有靄,10.7
119.5631°E,23.5655°N,29.6,82,0.0,10.6,6.925,37.0,4.8,76,多雲有靄,10.7
119.5631°E,23.5655°N,28.4,88,2.5,0.1,2.369,13.0,9.8,75,陰有雨,10.7
119.5631°E,23.5655°N,28.7,87,6.5,5.1,4.681,23.0,6.8,75,多雲有雨,10.7
119.5631°E,23.5655°N,28.8,89,0.0,4.0,4.617,15.4,8.2,74,多雲有靄,10.7
119.5631°E,23.5655°N,28.2,88,2.5,0.2,1.856,12.0,9.8,74,陰有雨,10.7
119.5631°E,23.5655°N,27.6,89,5.5,1.1,3.167,16.4,9.8,74,陰有雨,10.7
119.5631°E,23.5655°N,28.6,88,0.0,7.5,5.908,25.0,7.8,73,多雲有靄,10.7
119.5631°E,23.5655°N,28.4,88,2.5,7.6,5.358,27.0,8.0,73,多雲有雨,10.7
119.5631°E,23.5655°N,27.5,88,3.5,6.0,5.214,37.0,7.6,72,多雲有雨,10.7
119.5631°E,23.5655°N,26.1,95,31.5,0.1,2.222,14.8,9.6,72,陰有雨,10.7
119.5631°E,23.5655°N,25.8,96,68.0,0.0,1.5,9.2,9.8,71,陰有雨,10.7
119.5631°E,23.5655°N,27.3,87,0.0,10.4,6.378,25.0,2.4,71,晴有靄,10.7
119.5631°E,23.5655°N,27.7,79,0.0,10.1,5.889,31.0,2.0,71,晴有靄,10.7
119.5631°E,23.5655°N,27.9,80,0.0,10.9,6.653,29.0,3.4,70,晴有靄,10.7
119.5631°E,23.5655°N,28.2,78,0.0,11.5,6.931,31.0,2.2,70,晴有靄,10.7
119.5631°E,23.5655°N,28.2,80,0.0,9.1,6.114,27.0,5.0,70,多雲有靄,10.7
119.5631°E,23.5655°N,28.7,77,0.0,8.1,6.128,27.0,6.2,69,多雲有靄,10.7
119.5631°E,23.5655°N,28.3,82,0.0,5.3,5.006,21.8,7.2,69,多雲有靄,10.7
119.5631°E,23.5655°N,28.3,83,0.0,11.7,6.833,30.0,1.0,68,晴有靄,10.7
119.5631°E,23.5655°N,28.2,88,0.0,8.6,5.867,27.0,2.0,68,晴有靄,10.7
119.5631°E,23.5655°N,28.1,88,0.0,10.9,6.614,24.0,1.4,68,晴有靄,10.7
119.5631°E,23.5655°N,28.3,85,0.0,11.6,6.739,27.0,1.2,67,晴有靄,10.7
119.5631°E,23.5655°N,28.9,87,0.0,11.1,6.508,28.0,1.2,67,晴有靄,10.7
119.5631°E,23.5655°N,29.1,86,0.0,8.1,5.736,27.0,4.4,66,多雲有靄,10.7
119.5631°E,23.5655°N,28.9,87,0.0,10.5,6.492,22.0,1.8,66,晴有靄,10.7
119.5631°E,23.5655°N,29.1,84,0.0,10.4,6.439,28.0,2.6,66,晴有靄,10.7
119.5631°E,23.5655°N,29.0,84,0.0,7.7,5.475,22.6,3.0,65,晴有靄,10.7
119.5631°E,23.5655°N,29.2,83,0.0,8.4,5.525,15.2,4.6,65,多雲有靄,10.7
119.5631°E,23.5655°N,29.0,85,0.0,6.3,4.892,18.2,7.4,65,多雲有靄,10.7
119.5631°E,23.5655°N,28.8,86,0.0,7.3,5.128,20.2,3.6,64,晴有靄,10.7
119.5631°E,23.5655°N,28.7,85,0.0,10.1,6.2,21.0,2.2,64,晴有靄,10.7
119.5631°E,23.5655°N,28.5,82,0.0,7.4,5.589,14.0,5.8,63,多雲有靄,10.7
119.5631°E,23.5655°N,27.8,75,0.0,7.1,5.503,13.8,4.2,63,多雲有靄,10.7
119.5631°E,23.5655°N,27.3,76,0.0,4.7,4.206,21.6,5.6,63,多雲有靄,10.7
119.5631°E,23.5655°N,27.3,79,0.0,2.9,4.175,10.8,6.6,62,多雲有靄,10.7
119.5631°E,23.5655°N,26.2,88,6.0,0.1,2.131,8.8,8.8,61,多雲有雨,10.7
119.5631°E,23.5655°N,26.4,85,0.0,1.8,3.728,21.0,7.4,61,多雲有靄,10.7
119.5631°E,23.5655°N,26.2,85,0.0,0.2,2.35,18.0,9.0,60,陰有靄,10.7
119.5631°E,23.5655°N,25.9,82,0.0,1.9,3.589,23.0,8.0,60,多雲有靄,10.7
119.5631°E,23.5655°N,25.9,75,0.0,6.5,5.314,14.4,4.0,60,多雲有靄,10.7
119.5631°E,23.5655°N,26.0,75,0.0,6.0,5.067,19.2,6.0,59,多雲有靄,10.7
119.5631°E,23.5655°N,26.1,73,0.0,9.9,5.797,24.0,1.4,59,晴天,10.7
119.5631°E,23.5655°N,26.0,75,0.0,10.9,5.922,27.0,1.6,58,晴有靄,10.7
119.5631°E,23.5655°N,25.8,70,0.0,3.0,4.147,16.2,8.2,58,多雲,10.7
119.5631°E,23.5655°N,25.5,69,0.0,0.1,2.297,10.6,9.8,58,陰天,10.7
119.5631°E,23.5655°N,25.6,82,0.0,0.1,2.3,12.2,9.8,57,陰有靄,10.7
119.5631°E,23.5655°N,25.9,83,0.0,6.8,4.669,11.4,4.0,56,多雲有靄,10.7
119.5631°E,23.5655°N,24.7,75,0.0,0.2,2.569,14.4,9.2,56,陰有靄,10.7
119.5631°E,23.5655°N,25.2,77,0.0,6.3,4.789,20.0,6.6,56,多雲有靄,10.7
119.5631°E,23.5655°N,25.8,82,0.0,5.4,4.322,24.0,5.6,55,多雲有靄,10.7
119.5631°E,23.5655°N,26.0,84,0.0,3.6,4.011,20.6,7.0,55,多雲有靄,10.7
119.5631°E,23.5655°N,26.2,82,0.0,6.7,4.825,30.0,4.8,54,多雲有靄,10.7
119.5631°E,23.5655°N,26.0,82,0.0,9.7,5.133,29.0,2.0,54,晴有靄,10.7
119.5631°E,23.5655°N,25.0,77,0.0,5.8,4.339,25.0,5.2,53,多雲有靄,10.7
119.5631°E,23.5655°N,25.0,73,0.0,6.9,4.447,24.0,4.0,53,多雲,10.7
119.5631°E,23.5655°N,25.1,76,0.0,6.7,4.464,25.0,4.6,53,多雲有靄,10.7
119.5631°E,23.5655°N,25.5,77,0.0,6.6,4.633,29.0,4.0,52,多雲有靄,10.7
119.5631°E,23.5655°N,25.3,81,0.0,7.4,4.489,17.6,3.4,52,晴有靄,10.7
119.5631°E,23.5655°N,25.3,83,0.0,9.2,4.914,24.0,3.0,52,晴有靄,10.7
119.5631°E,23.5655°N,25.1,81,0.0,9.8,5.05,33.0,2.4,51,晴有靄,10.7
119.5631°E,23.5655°N,25.4,82,0.0,10.8,5.158,27.0,1.4,51,晴有靄,10.7
119.5631°E,23.5655°N,25.8,81,0.0,10.7,5.158,33.0,0.0,51,晴有靄,10.7
119.5631°E,23.5655°N,26.3,79,0.0,8.1,4.794,29.0,4.2,51,多雲有靄,10.7
119.5631°E,23.5655°N,24.6,70,0.0,8.1,4.719,18.6,3.4,50,晴天,10.7
119.5631°E,23.5655°N,24.9,79,0.0,8.2,4.508,20.0,4.4,50,多雲有靄,10.7
119.5631°E,23.5655°N,25.5,84,0.0,7.0,4.322,18.2,5.4,50,多雲有靄,10.7
119.5631°E,23.5655°N,26.0,83,0.0,9.0,4.889,19.6,3.8,49,晴有靄,10.7
119.5631°E,23.5655°N,24.5,79,0.0,4.1,3.911,27.0,7.4,49,多雲有靄,10.7
119.5631°E,23.5655°N,23.8,76,0.0,2.5,3.006,24.0,8.0,49,多雲有靄,10.7
119.5631°E,23.5655°N,21.1,73,0.0,0.0,1.364,11.2,9.8,49,陰天,10.7
119.5631°E,23.5655°N,22.1,76,0.0,1.3,3.028,20.0,8.0,48,多雲有靄,10.7
119.5631°E,23.5655°N,23.2,77,0.0,5.4,3.981,29.0,6.4,48,多雲有靄,10.7
119.5631°E,23.5655°N,22.5,78,0.0,4.1,3.55,21.0,6.6,48,多雲有靄,10.7
119.5631°E,23.5655°N,19.6,60,0.0,9.7,4.997,26.0,1.8,48,晴天,10.7
119.5631°E,23.5655°N,19.7,57,0.0,10.2,4.975,29.0,1.0,47,晴天,10.7
119.5631°E,23.5655°N,20.8,68,0.0,7.0,4.211,28.0,3.6,47,晴天,10.7
119.5631°E,23.5655°N,22.0,71,0.0,4.7,3.475,32.0,5.8,47,多雲,10.7
119.5631°E,23.5655°N,22.3,78,0.0,9.4,4.711,19.0,2.2,47,晴有靄,10.7
119.5631°E,23.5655°N,23.0,79,0.0,9.8,4.756,29.0,1.6,46,晴有靄,10.7
119.5631°E,23.5655°N,23.2,75,0.0,8.7,4.583,30.0,3.2,46,晴有靄,10.7
119.5631°E,23.5655°N,22.3,70,0.0,7.8,4.036,7.0,2.2,46,晴天,10.7
119.5631°E,23.5655°N,22.8,73,0.0,7.9,4.131,28.0,2.6,45,晴天,10.7
119.5631°E,23.5655°N,23.2,65,0.0,10.0,4.667,21.0,0.6,45,晴天,10.7
119.5631°E,23.5655°N,22.6,79,0.0,0.3,2.344,11.6,9.4,45,陰有靄,10.7
119.5631°E,23.5655°N,20.2,75,0.0,3.9,3.847,18.0,7.0,45,多雲有靄,10.7
119.5631°E,23.5655°N,21.0,80,0.0,0.2,1.994,20.2,9.0,44,陰有靄,10.7
119.5631°E,23.5655°N,21.2,88,0.5,0.0,1.531,27.0,10.0,44,陰有靄,10.7
119.5631°E,23.5655°N,21.7,79,0.0,2.1,3.214,40.0,8.2,44,多雲有靄,10.7
119.5631°E,23.5655°N,21.3,75,0.0,0.4,1.931,21.2,9.2,44,陰有靄,10.7
119.5631°E,23.5655°N,21.9,61,0.0,10.0,5.025,32.0,1.2,44,晴天,10.7
119.5631°E,23.5655°N,21.5,76,0.0,9.7,4.928,14.4,1.2,44,晴有靄,10.7
119.5631°E,23.5655°N,23.0,73,0.0,10.2,4.914,33.0,0.4,44,晴天,10.7
119.5631°E,23.5655°N,24.6,86,0.0,0.9,2.992,23.0,9.0,43,陰有靄,10.7
119.5631°E,23.5655°N,22.4,80,0.0,4.1,4.05,22.2,6.6,43,多雲有靄,10.7
119.5631°E,23.5655°N,22.2,85,0.0,1.7,2.394,15.0,8.6,43,多雲有靄,10.7
119.5631°E,23.5655°N,24.0,81,0.0,9.7,4.839,22.4,2.4,43,晴有靄,10.7
119.5631°E,23.5655°N,17.4,76,0.0,0.0,1.186,9.6,10.0,43,陰有靄,10.7
119.5631°E,23.5655°N,20.2,81,0.0,1.0,2.975,30.0,8.8,43,多雲有靄,10.7
119.5631°E,23.5655°N,15.4,75,0.0,0.0,0.639,11.6,10.0,43,陰有靄,10.7
119.5631°E,23.5655°N,14.0,68,0.0,1.7,2.603,17.6,7.0,43,多雲,10.7
119.5631°E,23.5655°N,16.4,67,0.0,6.8,4.481,19.0,4.6,43,多雲,10.7
119.5631°E,23.5655°N,17.7,79,0.0,1.2,2.592,12.2,7.8,43,多雲有靄,10.7
119.5631°E,23.5655°N,19.4,91,3.0,0.0,1.367,12.0,9.8,43,陰有雨,10.7
119.5631°E,23.5655°N,19.2,84,0.0,0.5,2.064,11.6,8.4,43,多雲有靄,10.7
119.5631°E,23.5655°N,20.8,77,0.0,8.9,4.797,13.6,2.6,43,晴有靄,10.7
119.5631°E,23.5655°N,18.2,73,0.0,4.6,3.994,7.4,6.4,43,多雲,10.7
119.5631°E,23.5655°N,18.5,80,0.0,2.9,3.075,9.6,7.4,43,多雲有靄,10.7
119.5631°E,23.5655°N,18.0,74,0.0,3.9,3.375,14.4,5.4,44,多雲,10.7
119.5631°E,23.5655°N,17.3,71,0.0,9.5,4.908,12.0,1.8,44,晴天,10.7
119.5631°E,23.5655°N,18.1,76,0.0,9.7,4.853,15.0,1.0,44,晴有靄,10.7
119.5631°E,23.5655°N,19.4,75,0.0,9.9,4.994,16.4,1.4,44,晴有靄,10.7
119.5631°E,23.5655°N,19.0,73,0.0,6.7,4.383,12.0,5.2,44,多雲,10.7
119.5631°E,23.5655°N,18.8,79,0.0,2.9,3.45,14.2,6.4,44,多雲有靄,10.7
119.5631°E,23.5655°N,19.7,81,0.0,7.0,4.7,22.6,4.8,44,多雲有靄,10.7
119.5631°E,23.5655°N,18.8,69,0.0,6.8,4.297,22.6,3.2,44,晴天,10.7
119.5631°E,23.5655°N,16.9,66,0.0,9.4,4.992,17.8,1.0,45,晴天,10.7
119.5631°E,23.5655°N,18.6,72,0.0,9.4,4.9,30.0,1.2,45,晴天,10.7
119.5631°E,23.5655°N,19.9,73,0.0,9.7,5.236,31.0,1.0,45,晴天,10.7
119.5631°E,23.5655°N,19.5,77,0.0,9.4,5.178,23.6,3.8,45,晴有靄,10.7
119.5631°E,23.5655°N,19.8,76,0.0,4.1,3.531,18.6,5.2,45,多雲有靄,10.7
119.5631°E,23.5655°N,18.7,75,0.0,3.6,3.981,19.6,6.8,45,多雲有靄,10.7
119.5631°E,23.5655°N,19.6,80,0.0,5.6,4.683,19.2,5.6,46,多雲有靄,10.7
119.5631°E,23.5655°N,20.5,81,0.0,8.9,5.175,28.0,3.2,46,晴有靄,10.7
119.5631°E,23.5655°N,20.9,83,0.0,2.1,3.342,15.0,7.2,46,多雲有靄,10.7
119.5631°E,23.5655°N,20.6,84,0.0,2.6,3.594,20.6,6.6,46,多雲有靄,10.7
119.5631°E,23.5655°N,11.3,79,0.5,0.0,0.794,20.6,10.0,47,陰有靄,10.7
119.5631°E,23.5655°N,12.9,76,0.0,0.0,0.55,18.4,10.0,47,陰有靄,10.7
119.5631°E,23.5655°N,14.2,79,0.0,0.0,0.881,17.0,10.0,47,陰有靄,10.7
119.5631°E,23.5655°N,15.2,75,0.0,2.3,2.714,16.2,8.4,48,多雲有靄,10.7
119.5631°E,23.5655°N,16.3,88,1.0,0.3,2.067,6.8,9.4,48,陰有雨,10.7
119.5631°E,23.5655°N,20.2,89,0.0,10.1,5.614,17.0,2.0,49,晴有靄,10.7
